k	term	gloss	blind	missing
w3159	widespread	נפוץ	נפוץ | רחב היקף	2:רחב היקף
w3160	withstand	להתמודד, לעמוד ב-	לעמוד בפני	1:לעמוד בפני
w3164	accommodate	להכיל, לפנות מקום ל-; להתאים (לצרכים); לאכסן, לשכן	להכיל | להתחשב	2:להתחשב
w3166	accustomed	מורגל	רגיל | מורגל	1:רגיל
w3168	acquitted	זוכה מאשמה	לזכות	1:לזכות
w3169	adhere	לדבוק ב-, לדגול ב-	לדבוק | להידבק	1:לדבוק | 2:להידבק
w3170	adjacent to	ליד	סמוך ל | גובל ב	1:סמוך ל | 2:גובל ב
w3171	administer	לנהל, לפקח; לתת, לחלק	לנהל | להעניק	2:להעניק
w3172	adolescence	גיל ההתבגרות	התבגרות	1:התבגרות
w3174	algae	אצות	אצה	1:אצה
w3175	alienation	ניכור, הרחקה	ניכור | התנכרות	2:התנכרות
w3177	alterations	שינויים	שינוי | תיקון	1:שינוי | 2:תיקון
w3178	ambiguous	דו משמעי, לא לגמרי ברור	דו-משמעי | מעורפל	1:דו-משמעי | 2:מעורפל
w3180	amid	בקרב, בין	בתוך | באמצע	1:בתוך | 2:באמצע
w3181	ample	מספיק, שופע, גדול	מספיק | נרחב	2:נרחב
w3184	annually	אחת לשנה, בכל שנה	מדי שנה	1:מדי שנה
w3191	arguably	ניתן לטעון ש-, כנראה	לכאורה | כנראה	1:לכאורה
w3192	arise, arose	לקום, קם	לצוץ | לקום	1:לצוץ
w3193	ark	תיבה	תיבה | ארון	2:ארון
w3194	array	מערך; מגוון	מערך | מבחר	2:מבחר
w3195	assert	לטעון בתוקף, להצהיר	לטעון	1:לטעון
w3199	attain	להשיג, להגיע	להשיג | להגיע ל	2:להגיע ל
w3200	attendant	משרת, מטפל, מלווה	מלווה | דייל	2:דייל
w3202	augment	להרחיב	להגדיל | לחזק	1:להגדיל | 2:לחזק
w3203	awe	יראת כבוד	יראת כבוד | התפעלות	2:התפעלות
w3208	beam	קרן; קורה	קרן | קורה | לחייך	3:לחייך
w3210	being that	מכיוון ש-	היות ו | מכיוון ש	1:היות ו | 2:מכיוון ש
w3214	burden	עול	נטל | עול | להכביד	1:נטל | 3:להכביד
w3215	burglar	פורץ	פורץ | גנב	2:גנב
w3216	by no means	בשום אופן לא, כלל לא	בשום אופן	1:בשום אופן
w3218	carve	לגלף, לחטוב; לחתוך (בשר); לחרוט	לגלף | לחרוט | לפרוס	3:לפרוס
w3219	cavity	חור	חלל | עששת	1:חלל | 2:עששת
w3222	circulate	להפיץ; לנוע במחזוריות	לזרום | להפיץ	1:לזרום
w3223	circumstance	מצב, תנאי, נסיבות	נסיבה	1:נסיבה
w3224	coexist	להתקיים זה בצד זה, לחיות יחד בשלום	להתקיים יחד | לדור בכפיפה אחת	1:להתקיים יחד | 2:לדור בכפיפה אחת
w3228	communal	משותף, ציבורי	קהילתי | משותף	1:קהילתי
w3229	comparable	בר-השוואה	דומה | בר השוואה	1:דומה | 2:בר השוואה
w3230	comparatively	באופן יחסי	יחסית	1:יחסית
w3231	compel	לאלץ, לחייב	לאלץ | לכפות	2:לכפות
w3232	composed	רגוע, שלֵו, שולט בעצמו; הלחין, חיבר	רגוע | מורכב	2:מורכב
w3234	conceal	להסתיר	להסתיר | להעלים	2:להעלים
w3235	conception	תפיסה	תפיסה | התעברות	2:התעברות
w3236	conclusively	סופית, באופן החלטי	סופית | חד משמעית	2:חד משמעית
w3237	condemned	לגנות; נידון ל-	לגנות | נידון	2:נידון
w3238	condense	לתמצת, לצמצם; לדחוס, לרכז; לעבות (גז לנוזל)	לתמצת | להתעבות	2:להתעבות
w3240	consequently	כתוצאה מכך	לפיכך | כתוצאה מכך	1:לפיכך
w3241	considerable	הרבה, רבות	ניכר | משמעותי	1:ניכר | 2:משמעותי
w3242	consist	מורכב מ-	להיות מורכב | להכיל	1:להיות מורכב | 2:להכיל
w3243	consolidate	לאחד, לגבש	לאחד | לבסס	2:לבסס
w3244	constitute	מהווים; להקים, לייסד	להוות	1:להוות
w3246	contemporary	עכשווי, מודרני; בן-זמנו, בן-תקופה	עכשווי | בן זמננו	2:בן זמננו
w3251	correspondence	התכתבות	התכתבות | התאמה	2:התאמה
w3252	correspondingly	בהתאמה	בהתאם	1:בהתאם
w3253	counsel	לייעץ, להדריך; פרקליט, יועץ	עצה | לייעץ | עורך דין	1:עצה | 3:עורך דין
w3254	counterpart	בעל תפקיד מקביל, עמית, בן-זוג	מקבילה | עמית	1:מקבילה
w3255	coupled with	יחד עם	יחד עם | בשילוב עם	2:בשילוב עם
w3256	courteous	אדיב	מנומס	1:מנומס
w3257	crave	להשתוקק	להשתוקק | לחשוק	2:לחשוק
w3262	deceased	נפטר	נפטר | מת	2:מת
w3263	deceive	להונות	להטעות | לרמות	1:להטעות | 2:לרמות
w3266	defer	לעכב, לדחות	לדחות | להישמע	2:להישמע
w3267	deficiency	מחסור	מחסור | ליקוי	2:ליקוי
w3269	degenerate	להתנוון	להידרדר | מנוון	1:להידרדר | 2:מנוון
w3271	delusions	אשליות, הזיות	הזיה | אשליה	1:הזיה | 2:אשליה
w3275	derive	לשאוב, להפיק, לגזור מ-	לנבוע | להפיק	1:לנבוע
w3276	differences	חילוקי דעות	הבדל | שוני	1:הבדל | 2:שוני
w3277	disciples	תלמידים	תלמיד | חסיד	1:תלמיד | 2:חסיד
w3281	dispatch	לשגר	לשלוח | לשגר | דיווח	1:לשלוח | 3:דיווח
w3282	displacement	עקירה	עקירה | תזוזה	2:תזוזה
w3284	dispute	מחלוקת; לערער	מחלוקת | להתווכח	2:להתווכח
w3286	dissection	חיתוך, ביתור	ניתוח | נתיחה	1:ניתוח | 2:נתיחה
w3287	divert	להסיט, להפנות לכיוון אחר; להסיח את הדעת	להסיט | להטות	2:להטות
w3288	draw	תיקו, שוויון; לצייר	לצייר | למשוך | תיקו	2:למשוך
w3291	dwell	להתגורר	לגור | להתעכב	1:לגור | 2:להתעכב
w3292	dwelling	משכן, בית	מגורים | בית	1:מגורים
w3295	elusive	חמקמק	חמקמק | בלתי מושג	2:בלתי מושג
w3296	emergence	הופעה, היווצרות	הופעה | התהוות	2:התהוות
w3300	enlist	להתגייס	להתגייס | לגייס	2:לגייס
w3301	envision	לחזות, לצפות	לדמיין | לחזות	1:לדמיין
w3303	erroneous	שגוי	שגוי | מוטעה	2:מוטעה
w3304	erupt	התפרץ	להתפרץ	1:להתפרץ
w3306	esteemed	מכובד	מכובד | נערץ	2:נערץ
w3307	evade	התחמק	להתחמק	1:להתחמק
w3311	excessively	בצורה מוגזמת	בהפרזה | מדי	1:בהפרזה | 2:מדי
w3313	expendable	שניתן לוותר עליו	מתכלה | מיותר	1:מתכלה | 2:מיותר
w3317	familiarize	להתוודע	להכיר | להתוודע	1:להכיר
w3318	famine	רעב קשה	רעב	1:רעב
w3319	fascinate	לרתק	להקסים	1:להקסים
w3320	fast	צום; מהיר	מהיר | מהר | לצום	2:מהר | 3:לצום
w3328	forfeit	לוותר, להפסיד	לאבד | לוותר על	1:לאבד | 2:לוותר על
w3330	foster	לטפח, לעודד, לקדם; (הורה/ילד) אומן	לטפח | אומנה	2:אומנה
w3332	fugitive	נמלט, בורח מהחוק	נמלט | בורח	2:בורח
w3334	glimpse	הצצה, מבט חטוף	מבט חטוף | להבחין	2:להבחין
w3335	glorify	להאדיר	לפאר | להלל	1:לפאר | 2:להלל
w3336	gracious	חינני, אדיב	אדיב | נדיב	2:נדיב
w3341	hasten	למהר, להחפז	למהר | להאיץ	2:להאיץ
w3342	hasty	מהיר, בהול	נמהר | פזיז	1:נמהר | 2:פזיז
w3343	haul	לגרור	לגרור | שלל	2:שלל
w3347	humility	ענוה	ענווה	1:ענווה
w3352	illuminate	להאיר	להאיר | להבהיר	2:להבהיר
w3354	impair	לפגום, להחליש	לפגוע | להחליש	1:לפגוע
w3355	impartial	אוביקטיבי, ללא צד	חסר פניות | אובייקטיבי	1:חסר פניות | 2:אובייקטיבי
w3356	in due time	בבוא העת	בבוא הזמן	1:בבוא הזמן
w3357	in order	תקין, מסודר	כדי	1:כדי
w3360	incorporate	לכלול, לשתף, לאגד	לשלב | להתאגד	1:לשלב | 2:להתאגד
w3363	induce	לגרום, לייצר	לגרום | לשכנע	2:לשכנע
w3365	inferred	נגזר, משתמע	להסיק	1:להסיק
w3367	ingest	להכניס משהו לגוף דרך הפה	לבלוע | לצרוך	1:לבלוע | 2:לצרוך
w3368	inhibit	לרסן	לעכב | למנוע	1:לעכב | 2:למנוע
w3370	inquiry	חקירה	בירור | חקירה	1:בירור
w3371	insulate	לבודד	לבודד | להגן	2:להגן
w3376	intrigue	לסקרן; תככים	לסקרן | קנוניה	2:קנוניה
w3377	intrusive	פולשני	פולשני | חודרני	2:חודרני
w3378	invoke	לעורר, לזמן	להסתמך על | לעורר	1:להסתמך על
w3381	landmark	אבן דרך	ציון דרך	1:ציון דרך
w3383	launder	לכבס	לכבס | להלבין	2:להלבין
w3387	linger	להתעכב, להשתהות	להתמהמה | להשתהות	1:להתמהמה
w3389	literate	יודע קרוא וכתוב; בקיא, בעל אוריינות	אוריין | משכיל	1:אוריין | 2:משכיל
w3390	litter	אשפה, פסולת; ללכלך בפסולת; לזרוע, לפזר	זבל | לזרוק זבל | המלטה	1:זבל | 2:לזרוק זבל | 3:המלטה
w3391	lodge	להתאכסן, אכסנייה	בקתה | להתאכסן	1:בקתה
w3392	loosely	באופן רפוי	באופן רופף | בערך	1:באופן רופף | 2:בערך
w3393	lumber	עצי בניין, קרשים, עצה מנוסרת	עץ בניין	1:עץ בניין
w3395	malformation	עיוות, פגם	מום | עיוות	1:מום
w3398	mere	רק, לא יותר מ-	גרידא | בלבד	1:גרידא | 2:בלבד
w3399	mischief	נזק, מעשה קונדס	שובבות | תעלול	1:שובבות | 2:תעלול
w3400	mobilize	לנייד, להניע	לגייס	1:לגייס
w3401	mold	לעצב; עובש	עובש | תבנית | לעצב	2:תבנית
w3407	negate	לשלול	לשלול | לבטל	2:לבטל
w3409	nonetheless	למרות זאת	עם זאת | בכל זאת	1:עם זאת | 2:בכל זאת
w3412	noted	ידוע, מפורסם	לציין | ידוע	1:לציין
w3413	nurture	לטפח, להזין, לחנך	לטפח | חינוך	2:חינוך
w3414	nutrient	חומר מזין	רכיב תזונתי	1:רכיב תזונתי
w3415	oblige	לחייב, להכריח	לחייב | לעשות טובה	2:לעשות טובה
w3417	offset	לקזז	לקזז | קיזוז	2:קיזוז
w3418	ordinarily	בדרך-כלל	בדרך כלל	1:בדרך כלל
w3419	orient	להתמצא	לכוון | מזרח	1:לכוון | 2:מזרח
w3420	originate	התחיל, התהווה	לנבוע | ליזום	1:לנבוע | 2:ליזום
w3422	outweigh	עולה על, שוקל יותר מ-	לגבור על	1:לגבור על
w3423	overdue	שעבר זמן ההגשה שלו	באיחור	1:באיחור
w3424	overlooked	לא הבחין, פספס, החמיץ; התעלם; (גם: צפה על מגבוה)	להתעלם | להשקיף	1:להתעלם | 2:להשקיף
w3427	particulars	פרטים, פרטי מידע	פרט	1:פרט
w3428	perceive	להבחין, לראות	לתפוס | להבחין	1:לתפוס
w3432	pivot	ציר, לסובב על ציר	ציר | לסובב	2:לסובב
w3435	portray	לתאר, לצייר	לתאר | לגלם	2:לגלם
w3436	pose	להציב, להוות; תנוחה	להוות | תנוחה | להתחזות	3:להתחזות
w3437	posture	יציבה, תנוחה	יציבה | עמדה	2:עמדה
w3438	potent	חזק, בעל כוח השפעה	חזק | עוצמתי	2:עוצמתי
w3441	poverty-stricken	מוכה עוני	עני | מרוד	1:עני | 2:מרוד
w3444	predictive	חיזויי, מנבא	מנבא | תחזיתי	2:תחזיתי
w3446	prescribe	לרשום מרשם	לרשום | להורות	1:לרשום | 2:להורות
w3448	presently	כעת	כרגע | בקרוב	1:כרגע | 2:בקרוב
w3450	probation	תקופת מבחן	תקופת ניסיון | מאסר על תנאי	1:תקופת ניסיון | 2:מאסר על תנאי
w3451	proclaim	להכריז בפומבי	להכריז	1:להכריז
w3455	prospective	צפוי, עתידי	פוטנציאלי | עתידי	1:פוטנציאלי
w3456	prosperity	צמיחה, שגשוג	שגשוג | שפע	2:שפע
w3458	provided that	בתנאי ש-	בתנאי ש	1:בתנאי ש
w3461	pursuit	מרדף	מרדף | רדיפה | שאיפה	2:רדיפה | 3:שאיפה
w3464	rationalize	להצדיק, להסביר	להצדיק | לייעל	2:לייעל
w3465	readily	ללא קושי	בקלות | ברצון	1:בקלות | 2:ברצון
w3468	recession	מיתון	מיתון | נסיגה	2:נסיגה
w3469	recipient	נמען	מקבל	1:מקבל
w3472	refuge	מקלט, מחסה	מקלט | מפלט	2:מפלט
w3473	reign	שלטון	שלטון | למלוך	2:למלוך
w3476	reluctant	מסויג, לא מעוניין	מהסס	1:מהסס
w3480	riddle	חידה	חידה | לנקב	2:לנקב
w3481	ridicule	ללעוג	ללעוג | לעג	2:לעג
w3482	rigid	נוקשה, מחמיר	נוקשה | קשיח	2:קשיח
w3483	robust	איתן, חזק ובריא	חזק | איתן	1:חזק
w3485	sake	תועלת, עניין	למען	1:למען
w3486	sanctuary	מקדש; מקלט	מקלט | מקדש | שמורה	3:שמורה
w3488	saw	מסור	לראות | משור	1:לראות | 2:משור
w3490	score	לחתוך, לחרוץ; תוצאה; לזכות בניקוד	ניקוד | תוצאה | לקלוע	1:ניקוד | 3:לקלוע
w3492	sedative	סם הרגעה, משכך	תרופת הרגעה	1:תרופת הרגעה
w3493	seek, sought	לחפש, חיפש	לחפש | לבקש	2:לבקש
w3494	segregation	הפרדה	הפרדה | בידול	2:בידול
w3495	seismic	ססמי (קשור לרעידות אדמה)	סייסמי	1:סייסמי
w3496	seizure	התקף	התקף | החרמה | תפיסה	2:החרמה | 3:תפיסה
w3501	skyrocket	להאמיר	לזנק	1:לזנק
w3504	span	להימתח, להקיף; מרווח	טווח | להשתרע	1:טווח | 2:להשתרע
w3505	spectacle	מחזה; ראווה	מחזה | משקפיים	2:משקפיים
w3506	splendid	נהדר, מהולל	נהדר | מפואר	2:מפואר
w3507	spring, sprang	קפיץ ; לקפוץ, קפץ	לקפוץ | לנבוע | לצוץ	2:לנבוע | 3:לצוץ
w3508	standardize	לתקנן	לתקנן | להאחיד	2:להאחיד
w3511	strain	מתח נפשי; להתאמץ, למתוח, לנקוע	מתח | לאמץ | זן	1:מתח | 2:לאמץ | 3:זן
w3514	stroke	ליטוף; מכה; שבץ/אירוע מוחי	שבץ | ללטף	1:שבץ | 2:ללטף
w3515	stumble	למעוד	למעוד | להיכשל	2:להיכשל
w3516	sturdy	חסון, מוצק	חזק | יציב | מוצק	1:חזק | 2:יציב
w3517	subsequent	עוקב	הבא | מאוחר יותר	1:הבא | 2:מאוחר יותר
w3520	successor	יורש	יורש | מחליף	2:מחליף
w3521	surpass	להצטיין, לעלות על	לעלות על | לעקוף	2:לעקוף
w3522	swept away	נסחף	לסחוף	1:לסחוף
w3523	sympathetic	אוהד	אוהד | מבין	2:מבין
w3527	timber	עץ	עץ | קורה	2:קורה
w3528	timid	ביישן	ביישן | פחדן	2:פחדן
w3529	tremendous	עצום	עצום | אדיר	2:אדיר
w3533	undertake	לקחת על עצמך	ליזום | להתחייב	1:ליזום | 2:להתחייב
w3534	unearth	לחשוף, לחפור	לחשוף | לגלות	2:לגלות
w3535	unfold	נפרש, נפתח, התגלה; לפתוח קיפול	להתפתח | לפרוש	1:להתפתח | 2:לפרוש
w3536	unparalleled	שאין כמותו, חסר תקדים	חסר תקדים | יוצא דופן	2:יוצא דופן
w3540	vain	לשווא; שחצן	יהיר | חסר תוחלת	1:יהיר | 2:חסר תוחלת
w3542	verse	בית בשיר; שירה	פסוק | בית | שירה	1:פסוק | 2:בית
w3543	vessel	כלי שיט	כלי | ספינה	1:כלי | 2:ספינה
w3545	virtue	מעלה	מידה טובה | סגולה	1:מידה טובה | 2:סגולה
w3546	vivid	חד, בהיר, ססגוני, חי, מוחשי	חי | עז | ברור	2:עז | 3:ברור
w3548	ward	מחלקה	מחלקה | אגף	2:אגף
w3550	whereas	בעוד ש-	בעוד ש	1:בעוד ש
w3551	wholesale	סיטונאות	סיטונאי | גורף	1:סיטונאי | 2:גורף
w3554	wind	למתוח; רוח	רוח | ללפף | לפתל	2:ללפף | 3:לפתל
w3555	wound	מתוח, נמתח; פצע	פצע | לפצוע	2:לפצוע
w3556	yield	להיכנע, לוותר, לסגת; להניב, להפיק	להניב | להיכנע | תשואה	3:תשואה
w3559	abide	לציית	לציית | לסבול	2:לסבול
w3561	abstain	להתנזר, להימנע ממשהו	להימנע	1:להימנע
w3562	acclaim	להריע, לשבח	שבח | לשבח	1:שבח
w3563	accomplices	שותף לדבר עבירה	שותף לפשע | שותף	1:שותף לפשע | 2:שותף
w3564	accomplished	מומחה, מעולה	מוכשר | מיומן	1:מוכשר | 2:מיומן
w3568	adverse	שלילי	שלילי | מזיק	2:מזיק
w3570	affluence	שפע	עושר | שפע	1:עושר
w3571	affluent	שופע, עשיר	אמיד | עשיר	1:אמיד
w3572	agitate	להסעיר, לזעזע, לעצבן	לעורר | להסעיר | לנער	1:לעורר | 3:לנער
w3573	agonize	להתייסר, לסבול ייסורים; להתלבט קשות	להתייסר | להתלבט	2:להתלבט
w3574	albeit	אף על פי ש, אם כי	אף על פי | למרות ש	1:אף על פי | 2:למרות ש
w3580	ancestry	מוצא	מוצא | שושלת	2:שושלת
w3581	antler	קרן מסועפת של אייל/צבי	קרן	1:קרן
w3582	appease	לפייס	לפייס | להרגיע	2:להרגיע
w3583	appraise	להעריך (שווי), לאמוד	להעריך | לשום	2:לשום
w3584	arable	מתאים לעיבוד	ראוי לעיבוד | חקלאי	1:ראוי לעיבוד | 2:חקלאי
w3585	articulate	להביע; רהוט	לבטא | רהוט | לנסח	1:לבטא | 3:לנסח
w3586	ascertain	לוודא	לוודא | לברר	2:לברר
w3590	astound	להדהים	להדהים | לתדהם	2:לתדהם
w3592	attire	לבוש	לבוש | תלבושת	2:תלבושת
w3594	baffled	מבולבל	מבולבל | נבוך	2:נבוך
w3596	benefactors	נדבנים, תורמים	נדבן | תורם	1:נדבן | 2:תורם
w3597	bland	תפל	תפל | משעמם	2:משעמם
w3598	bleak	עגום	קודר | עגום	1:קודר
w3599	bolster	לתמוך	לחזק | לתמוך	1:לחזק
w3601	candid	כנה, ישיר	כן | גלוי לב	1:כן | 2:גלוי לב
w3602	canvass	לבדוק, לסקור	לגייס תמיכה	1:לגייס תמיכה
w3603	capitalize	לנצל	לנצל | לכתוב ברישיות	2:לכתוב ברישיות
w3604	caste	מעמד חברתי	קאסטה | מעמד	1:קאסטה | 2:מעמד
w3606	coincide	להקביל, לחפוף	לחפוף | להתאים	2:להתאים
w3608	commendably	באופן ראוי לשבח	ראוי לשבח	1:ראוי לשבח
w3609	commends	לציין לשבח	לשבח | להמליץ	1:לשבח | 2:להמליץ
w3610	commute	להמתיק (עונש); להחליף, להמיר; לנסוע בקביעות לעבודה	לנסוע | להמיר	1:לנסוע
w3611	comprise	לכלול	לכלול | להיות מורכב	2:להיות מורכב
w3612	compulsory	מהווה חובה	חובה	1:חובה
w3615	concerted	מתואם	משותף | מתואם	1:משותף
w3616	concise	תמציתי, תכליתי	תמציתי | קצר	2:קצר
w3619	condone	לסלוח, למחול	להשלים עם | לסלוח	1:להשלים עם
w3620	confer	להתייעץ, לדון; להעניק (תואר, כבוד)	להתייעץ | להעניק	2:להעניק
w3621	confide	לשתף, לספר (סוד)	לשתף בסוד	1:לשתף בסוד
w3622	confinement	מאסר, ריתוק	כליאה | מאסר	1:כליאה
w3623	conform	להתאים, להסתגל	להתאים | לציית	2:לציית
w3627	conjecture	סברה, לשער	השערה | לשער	1:השערה
w3630	constituent	מרכיב; בוחר	רכיב | בוחר	1:רכיב
w3632	convene	לכנס	להתכנס	1:להתכנס
w3636	croak	קרקור	לקרקר | למות	1:לקרקר | 2:למות
w3637	culminate	הגיע לשיא	להגיע לשיא	1:להגיע לשיא
w3638	dampen	לדכא	להרטיב | להחליש	1:להרטיב | 2:להחליש
w3639	dandy	גנדרני	גנדרן | מצוין	1:גנדרן | 2:מצוין
w3640	date	תמר; יציאה, פגישה, דייט; תאריך	תאריך | פגישה רומנטית | תמר	2:פגישה רומנטית
w3641	deem	לראות כ-, לחשוב ל-	להחשיב	1:להחשיב
w3643	deliberation	דיון	שיקול דעת | דיון	1:שיקול דעת
w3652	depreciate	לרדת בערך, לפחות מערכו; להפחית ערך, להמעיט בערך	לרדת בערך | להיפחת	2:להיפחת
w3656	desolate	הרוס; שומם, נטוש	שומם | עגום	2:עגום
w3659	detrimental	מזיק	מזיק | פוגעני	2:פוגעני
w3664	die (dice)	קובייה (קוביות)	קוביה	1:קוביה
w3665	diminish	לצמצם	לפחות | להקטין	1:לפחות | 2:להקטין
w3666	disarmament	פירוק מנשק	פירוק נשק	1:פירוק נשק
w3668	discrepancy	סתירה, פער	פער | אי התאמה	2:אי התאמה
w3669	disdain	זלזול, בוז	בוז | לבוז	2:לבוז
w3670	dislocate	לפרוק, לנקוע	לפרק	1:לפרק
w3672	disparage	לזלזל, להמעיט בערך	לזלזל | להשמיץ	2:להשמיץ
w3673	disparagement	זלזול	זלזול | השמצה	2:השמצה
w3677	dissent	להתנגד, חילוקי דעות	התנגדות | לחלוק דעה	1:התנגדות | 2:לחלוק דעה
w3679	diverge	לסטות	להתפצל | לסטות	1:להתפצל
w3680	divinity	אלוהות	אלוהות | אל | תיאולוגיה	2:אל | 3:תיאולוגיה
w3683	draw (drew)	לשלוף, שלף	לצייר | למשוך | תיקו	1:לצייר | 2:למשוך | 3:תיקו
w3685	dwindle	הידלדל, התמעט	להצטמצם | לדעוך	1:להצטמצם | 2:לדעוך
w3687	elude	לברוח, להתחמק	לחמוק	1:לחמוק
w3689	embark	לצאת לדרך, לפתוח ב-; לעלות על ספינה או מטוס	להפליג | להתחיל	1:להפליג | 2:להתחיל
w3690	embellish	לקשט, לייפות; להוסיף פרטים מומצאים	לקשט | לייפות | להפריז	3:להפריז
w3691	embitter	גורם התמרמרות	למרר	1:למרר
w3692	eminent	בולט, בכיר	נודע	1:נודע
w3694	enclose	לצרף	לצרף | להקיף	2:להקיף
w3695	enclosing	לסגור, להקיף	לצרף | להקיף	1:לצרף
w3696	enclosure	סגירה, כיתור, שטח מגודר	מכלאה | נספח	1:מכלאה | 2:נספח
w3700	ensue	להתרחש בעקבות, לבוא כתוצאה, להתחולל	לנבוע	1:לנבוע
w3701	epitomize	לייצג, לאפיין	לגלם | לסמל	1:לגלם | 2:לסמל
w3703	evoke	לעורר, להעלות	לעורר | להזכיר	2:להזכיר
w3705	expatriate	גולה, מי שחי מחוץ למולדתו; לגרש/להגלות מהמולדת	גולה | מהגר	2:מהגר
w3706	expedite	לזרז	לזרז | להאיץ	2:להאיץ
w3707	expend	לגמור, לבזבז, לפזר	להוציא | לבזבז	1:להוציא
w3708	exquisite	מצוין; חד, מעודן, אנין	נפלא | מעודן	1:נפלא
w3709	extrapolate	לאמוד על סמך מידע קיים	להסיק	1:להסיק
w3710	fabricate	לבדות	לבדות | לייצר	2:לייצר
w3711	facilitate	לסייע, לעזור, להקל	להקל | לאפשר	2:לאפשר
w3712	fad	אופנה חולפת	אופנה חולפת | טרנד	2:טרנד
w3716	flagrant	בוטה	בוטה | משווע | גלוי	2:משווע | 3:גלוי
w3718	flimsy	רעוע, דל, שביר; קלוש, בלתי משכנע (תירוץ/ראיה)	רופף | קלוש	1:רופף
w3719	fluctuation	חוסר יציבות	תנודה	1:תנודה
w3720	foil	לסכל	לסכל | רדיד	2:רדיד
w3721	foremost	ראשון במעלה, בעיקר	המוביל	1:המוביל
w3723	formidable	אדיר, מאיים	מרשים | מפחיד	1:מרשים | 2:מפחיד
w3724	forsake	לזנוח	לנטוש | לזנוח	1:לנטוש
w3725	fraternal	אחוותי, של אחים	אחאי	1:אחאי
w3726	fringes	שוליים	שוליים | פוני	2:פוני
w3727	frivolous	קל דעת, לא רציני; חסר חשיבות	שטותי | קליל דעת	1:שטותי | 2:קליל דעת
w3729	fume	אדים, עשן	לזעום | אד	1:לזעום | 2:אד
w3730	furnish	לרהט	לרהט | לספק	2:לספק
w3731	futile	חסר תוחלת, נטול סיכוי	חסר תועלת | עקר	1:חסר תועלת | 2:עקר
w3732	gauge	למדוד, להעריך, מידה	מד | להעריך	1:מד
w3733	genial	ידידותי	ידידותי | לבבי	2:לבבי
w3736	glaze	זיגוג	ציפוי | לצפות	1:ציפוי | 2:לצפות
w3738	granted (that)	בהנחה ש-, נתון ש-	אמנם	1:אמנם
w3740	grievance	טרוניה, התמרמרות	תלונה	1:תלונה
w3742	hail	לשבח; ברד	ברד | להלל	2:להלל
w3743	harness	לרתום	לרתום | רתמה	2:רתמה
w3744	hearsay	שמועה	שמועה | עדות שמיעה	2:עדות שמיעה
w3745	heed	לשים לב	לשים לב | תשומת לב	2:תשומת לב
w3746	hegemony	הגמוניה	הגמוניה | שליטה	2:שליטה
w3750	hinder	לעכב	לעכב | להפריע	2:להפריע
w3753	impart	להעביר, להקנות	להעביר | להעניק	2:להעניק
w3754	impartially	באופן הוגן, ללא אפליה	בהגינות | באובייקטיביות	1:בהגינות | 2:באובייקטיביות
w3755	implicate	לסבך, לערב	להפליל | לערב	1:להפליל
w3757	inadvertently	בלי משים, בלי כוונה	בשוגג | בטעות	1:בשוגג | 2:בטעות
w3758	incidence	כמות, הִקָּרוּת (משהו שקורה)	שכיחות	1:שכיחות
w3762	infancy	ינקות	ינקות | שלב ראשוני	2:שלב ראשוני
w3763	infraction	עבירה	עבירה | הפרה	2:הפרה
w3764	inhabit	לגור ב-, לשכון ב-, לאכלס	לגור | להתגורר	1:לגור | 2:להתגורר
w3767	instill	להחדיר, להשריש	להנחיל | להקנות	1:להנחיל | 2:להקנות
w3768	insurmountable	שאין להתגבר עליו	בלתי עביר	1:בלתי עביר
w3769	insurrection	התקוממות	מרד | התקוממות	1:מרד
w3770	interjection	הערה, הפרעה לשיחה	מילת קריאה	1:מילת קריאה
w3771	interminable	נצחי	אינסופי | בלתי נגמר	1:אינסופי | 2:בלתי נגמר
w3772	invariably	תמיד, בכל פעם, ללא יוצא מן הכלל	תמיד | באופן קבוע	2:באופן קבוע
w3773	invertebrate	חסר-חוליות	חסר חוליות	1:חסר חוליות
w3774	jagged	משונן	משונן | מחוספס	2:מחוספס
w3775	keep	לשמור; חלק מהמצודה	לשמור | להמשיך	2:להמשיך
w3776	keystone	אבן מפתח	אבן פינה | אבן מפתח	1:אבן פינה
w3778	lamentable	מצער, מעציב	מצער | עגום	2:עגום
w3779	lapse	מעידה, פליטת פה; פרק זמן, פקיעה, סיום	מעידה | לפקוע	2:לפקוע
w3782	leisurely	נינוח, רגוע	רגוע | בנחת	2:בנחת
w3783	leniency	ותרנות, מתינות, הקלה בעונש	סלחנות | ותרנות	1:סלחנות
w3785	lineage	ייחוס, שושלת	שושלת | מוצא	2:מוצא
w3786	loathe	לתעב	לתעב | לשנוא	2:לשנוא
w3787	lucrative	ריווחי	רווחי | משתלם	1:רווחי | 2:משתלם
w3790	markedly	בצורה ניכרת	משמעותית | באופן ניכר	1:משמעותית | 2:באופן ניכר
w3791	marsupial	חיית כיס	יונק כיס	1:יונק כיס
w3793	meticulous	קפדני	קפדני | דקדקן	2:דקדקן
w3794	misconception	דעה מוטעית	תפיסה מוטעית | אי הבנה	1:תפיסה מוטעית | 2:אי הבנה
w3795	mitigate	למתן, להפחית	לצמצם | להקל	1:לצמצם | 2:להקל
w3796	momentous	הרה גורל	גורלי | מכריע	1:גורלי | 2:מכריע
w3797	morose	קודר, עגמומי	קודר | זעוף | עגום	2:זעוף | 3:עגום
w3798	myriad	רב, הרבה	אינספור	1:אינספור
