⛔ מועמדים · לא עברו פאנל · אינם ממצאים
מילה	פירוש היום	מה השופט העיוור כתב	מובן שאינו במאגר
posterity	הדורות הבאים	דורות הבאים	1:דורות הבאים
poultry	עוף	עופות	1:עופות
predecessors	קודמים	קודם	1:קודם
predestined	נקבע מראש	נועד מראש | מיועד	1:נועד מראש | 2:מיועד
preside	לנהל	לנהל | לכהן	2:לכהן
pretext	אמתלה, תואנה	תירוץ | תואנה	1:תירוץ
proliferate	התפשט במהירות	להתרבות	1:להתרבות
prompt	לגרום, לעורר; מיידי	מיידי | לעורר | הנחיה	3:הנחיה
prompted	הביא לידי	לעורר | לגרום	1:לעורר | 2:לגרום
prowess	מיומנות, יכולת	מיומנות | גבורה	2:גבורה
quarrelsome	וכחני	נוטה לריב | קנטרן	1:נוטה לריב | 2:קנטרן
quench	לספק, להרוות	להרוות | לכבות | להשקיט	2:לכבות | 3:להשקיט
rearing	גידול, טיפוח	גידול | להזדקף	2:להזדקף
reconcile	להתפייס; ליישב (סתירות), לגשר בין, להתאים	לפייס | להשלים עם	1:לפייס | 2:להשלים עם
reigned	משל, שלט	למלוך	1:למלוך
relapse	הדרדר, הישנות	הישנות | להישנות	2:להישנות
relegated	הורד בדרגה	להוריד בדרגה	1:להוריד בדרגה
render	להפוך ל-, לגרום; להגיש	להפוך | לעבד	1:להפוך | 2:לעבד
resent	לחוש טינה, להתרעם על	להתמרמר | לחוש טינה	1:להתמרמר
respective	שייך בהתאמה	מתאים | פרטני	1:מתאים | 2:פרטני
resurgence	תחייה	התעוררות מחדש | תחייה	1:התעוררות מחדש
sarcophagus	ארון קבורה קדום	סרקופג | ארון קבורה	1:סרקופג | 2:ארון קבורה
scales	קשקשים (של דג)	מאזניים | קשקשים | סולם	1:מאזניים | 3:סולם
scrutinize	בדק, בחן	לבחון | לבדוק בקפידה	1:לבחון | 2:לבדוק בקפידה
sensations	חדשות מרעישות	תחושה | סנסציה	1:תחושה | 2:סנסציה
sheer	מוחלט, לחלוטין; שקוף; משופע, תלול	מוחלט | טהור | שקוף	2:טהור
shingles	רעף	שלבקת חוגרת | רעף	1:שלבקת חוגרת
shroud	תכריך, עטיפה	תכריך | לאפוף	2:לאפוף
slant	אלכסון, נטייה	הטיה | שיפוע	1:הטיה | 2:שיפוע
snarl	לנהום בחשיפת שיניים, לרטון בכעס; סבך/פקק	לנהום	1:לנהום
snicker	גיחוך	לצחקק | צחקוק	1:לצחקק | 2:צחקוק
soar	להמריא	לדאות | לזנק	1:לדאות | 2:לזנק
solicit	לשדל / להדיח; לבקש/לחפש בתחינה	לבקש | לגייס	1:לבקש | 2:לגייס
speck	גרגר זעיר, נקודה זעירה, פירור	נקודה	1:נקודה
spewing	פולט/מתיז בעוצמה, מקיא	לפלוט | להקיא	1:לפלוט | 2:להקיא
splendor	פאר	פאר | הדר	2:הדר
staple	מצרך יסוד, מוצר בסיסי; עיקרי; סיכת הידוק	בסיסי | סיכת שדכן | לשדך	1:בסיסי | 2:סיכת שדכן | 3:לשדך
stark	בוטה, מוחלט, גמור; שומם, עזוב	קיצוני | קודר	1:קיצוני | 2:קודר
staunch	נאמן, מסור, איתן בדעתו; לעצור זרימה/דימום	נאמן | איתן	2:איתן
streamlined	יעיל וחסכוני; אווירודינמי, מעוצב לזרימה	יעיל	1:יעיל
stricken	מוכה	פגוע | מוכה	1:פגוע
strife	מאבק, עימות	מאבק | סכסוך	2:סכסוך
subdue	להכניע	להכניע | לרסן	2:לרסן
susceptibility	רגישות, פגיעות	רגישות | נטייה	2:נטייה
susceptible	רגיש ל-, חשוף ל-, נוטה ל-	רגיש | נוטה	1:רגיש | 2:נוטה
swindler	רמאי	נוכל | רמאי	1:נוכל
taint	לזהם; להכתים, להכפיש	להכתים | כתם	2:כתם
tentative	זמני, לא סופי, מהוסס	זמני | ניסיוני | מהוסס	2:ניסיוני
thereby	ובכך, על ידי כך, ולכן	בכך	1:בכך
tormented	לייסר, לענות	לייסר | מיוסר | להציק	2:מיוסר | 3:להציק
tranquilize	להרגיע, להרדים	להרגיע | לסמם	2:לסמם
transcend	להתעלות	להתעלות | לחרוג	2:לחרוג
underlies	מונח ביסוד, נמצא מתחת ל-	לעמוד בבסיס	1:לעמוד בבסיס
upheaval	מהפך	טלטלה | מהפך | תהפוכה	1:טלטלה | 3:תהפוכה
uphold	להחזיק, לתמוך, לדגול	לקיים | לתמוך	1:לקיים
uproar	רעש, מהומה	מהומה | סערה	2:סערה
usher	סדרן	סדרן | ללוות	2:ללוות
vertebrate	בעל חוליות	חולייתן	1:חולייתן
withhold	לעכב, לעצור, לא לתת	להסתיר | לעכב	1:להסתיר
wrought	מעוצב, מחושל	מעובד	1:מעובד
