מילה	סיווג	הסיבה	מה מכסה אותה	יחידה בישן	פירוש	סיווג מכני	חפיפה %	הקרוב בחדש
פִּסְגָּה	לא שווה	שכיחה מדי — מילה בסיסית ("פסגת ההר", "פסגת קריירה").	שכיחה מדי, מילה בסיסית	4	החלק הגבוה ביותר בהר	שווה	50	גלת הכותרת
פְּרִימָה	לא שווה	נגזרת ישירה של "פרם" שכבר בחדש, אותו מובן בדיוק של התרה/פירוק תפרים.	פרם	4	התרת קשרים	אולי	0	
רִיק	לא שווה	שכיחה מדי — מילה בסיסית ("ריק"=ריק, מוכרת לכל ילד).	שכיחה מדי, מילה בסיסית	4	וָואקוּם, אֶפֶס	אולי	0	
רָתַח	לא שווה	שכיחה מדי — פועל בסיסי ומוכר ("מים רתחו", "רתח מזעם"); לא בגלל כפילות עם "חמה" אלא בגלל שכיחות.	שכיחה מדי, מילה בסיסית	4	כעס מאוד	אולי	100	חמה
שְׁבִיתַת נֶשֶׁק	לא שווה	שכיחה מדי — ביטוי חדשותי נפוץ ביותר בישראל, מוכר לכל.	שכיחה מדי, ביטוי חדשותי נפוץ	4	הפסקת אש, הפסקה מוסכמת של כל פעולות הלחימה	שווה	17	הפוגה
אֵין-אוֹנִים	לא שווה	אותה משמעות בדיוק כמו "אזלת יד" — שתי ההגדרות כמעט זהות ("חוסר אונים/חולשה מוחלטת").	אזלת יד	5	אי יכולת להתמודד, חולשה מוחלטת	שווה	20	אזלת יד
אַסְקופָּה	לא שווה	אותו מובן בדיוק (סף הדלת) כמו "מפתן" — חפיפה של 100%.	מפתן	5	סף	לא שווה	100	מפתן
אַסְקופָּה הַנִּדְרֶסֶת	לא שווה	וריאנט כתיב של אותו ביטוי שכבר בחדש ("אסקפה נדרסת"), אותה משמעות בדיוק ("אדם מושפל שכולם מתעמרים בו").	אסקפה נדרסת	5	כינוי לאדם שכולם מתעמרים בו, אדם חלש אופי	אולי	43	אסקפה נדרסת
אָתֵאִיסְט	לא שווה	שכיחה מדי — מילה בינלאומית מוכרת לכל תלמיד תיכון.	שכיחה מדי, מילה בינלאומית מוכרת	5	אדם השולל את קיומם של אלים ושל כל כוח אלוהי	שווה	17	לאה
בֶּן-כִּלְאַיִים	לא שווה	אותה משמעות בדיוק כמו "כלאים" — המילה החדשה עצמה מדגימה "יצור כלאיים" באותו מובן.	כלאים	5	צמח או חיה שנוצרו מזיווג שני מינים שונים; היברידי	שווה	25	כלאים
דְּבָרִים בְּעָלְמָא	לא שווה	"בעלמא" כבר בחדש באותה משמעות בדיוק ("סתם, בלי כוונה מיוחדת"); הביטוי רק מוסיף "דברים".	בעלמא	5	דברים סתמיים, ללא כוונה מיוחדת	אולי	40	בעלמא
הוֹלֵך עַל קֶרַח דַּק	לא שווה	שכיח מדי — ביטוי מוכר ונפוץ בעברית מודרנית (מקביל ל"walking on thin ice").	שכיח מדי, ביטוי מוכר	5	נמצא במצב קשה ומסוכן תחת נסיבות שאינן לחלוטין בשליטתו	אולי	11	עמל
הָלַך עַל חֶבֶל דַּק	לא שווה	שכיח מדי — ביטוי מוכר ("הליכה על חבל דק") כמקביל ל"תיל דק" — נפוץ בשיח.	שכיח מדי, ביטוי מוכר	5	מצוי במצב שבו כל טעות קטנה יכולה להסב לו נזק	אולי	11	הסב
ווּלְגָרִי	לא שווה	שכיחה מדי — מילה בינלאומית נפוצה בשימוש יומיומי.	שכיחה מדי, מילה בינלאומית מוכרת	5	המוני, גס, פשוט ביותר	שווה	25	הדיוט
כָּאוֹטי	לא שווה	אותה משמעות בעיקרה (מצב אי-סדר) כמו "ערבוביה".	ערבוביה	5	במצב של אי סדר	לא שווה	67	ערבוביה
כָּאוֹס	לא שווה	ההגדרה הישנה עצמה משתמשת במילה "ערבוביה" כפירוש — אותה משמעות בדיוק כמו ב"כאוטי", גם אם הסקריפט לא זיהה זאת.	ערבוביה	5	ערבוביה, תוהו ובוהו	אולי	0	
כָּפִיס	לא שווה	אותו מובן בעיקרו (קורת עץ תומכת) כמו "קורה" — חפיפה גבוהה על מושג פיזי קונקרטי, לא ניואנס נבדל.	קורה	5	קרש, קורת עץ	לא שווה	67	קורה
לוֹיָאלִי	לא שווה	שכיחה מדי — מילה בינלאומית מוכרת ("לויאלי" בשימוש נרחב, במקום "נאמן").	שכיחה מדי, מילה בינלאומית מוכרת	5	נאמן, שומר אמונים	אולי	33	נוטר
פַּרְגּוֹל	לא שווה	אותו מובן בדיוק (שוט) כמו "מגלב" — חפיפה של 100%, שני כינויים לאותו חפץ.	מגלב	5	שוט	לא שווה	100	מגלב
פְּרֶמְיֵירָה	לא שווה	המשמעות (הופעה ראשונה) זהה בדיוק להגדרת "בכורה" שכבר בחדש	בכורה	5	הצגת הבכורה, ההופעה הראשונה	אולי	25	בכורה
שׁוֹבֵב אֶת נַפְשׁוֹ	לא שווה	המשמעות (עודד, דרבן) זהה מילה במילה להגדרת "אמץ את ידיו" שכבר בחדש	אמץ את ידיו	5	עודד אותו, דרבן אותו	לא שווה	100	אמץ את ידיו
אַמְבָּר	לא שווה	אמבר הוא כמעט מילה נרדפת מדויקת ל"אסם" שכבר בחדש (שתיהן "מחסן תבואה", וההגדרות זהות מילולית)	אסם	6	אסם, מחסן תבואה	אולי	67	אסם
בְּשׂוֹרָה	לא שווה	מילה שכיחה מדי (כל תלמיד תיכון מכיר), וגם נגזרת שקופה של "התבשר" שכבר בחדש	התבשר	6	ידיעה חשובה	לא שווה	100	התבשר
דִּיאָלוֹג	לא שווה	מילה שכיחה ושקופה מדי, זהה לאנגלית "dialogue", כל תלמיד תיכון מכיר		6	דו שיח	שווה	0	
הוֹלֵךְ בָּטֵל	לא שווה	משמעות זהה (בטלן חסר מעש) לניב "יושב קרנות" שכבר בחדש	יושב קרנות	6	בטלן	לא שווה	100	יושב קרנות
חָרֵד	לא שווה	מילה בסיסית ושכיחה מדי (מ"חרדה"), כל תלמיד תיכון מכיר		6	מפחד, מבוהל, מזועזע	שווה	0	
טַפְסָן	לא שווה	מונח מקצועי צר (בעל מקצוע בענף הבניין)		6	פועל בניין מומחה בהתקנת תבניות ליציקת בטון	אולי	14	פזיז
לוֹקָלִי	לא שווה	מילה לועזית שקופה ושכיחה מדי, זהה לאנגלית "local"		6	מקומי (local), אזורי	אולי	33	להג
מוֹנוֹלוֹג	לא שווה	מילה בסיסית ושקופה, זהה לאנגלית "monologue", כל תלמיד תיכון מכיר		6	נאום, שיח יחיד	שווה	33	אוטוקרטיה
מֶלוֹדִי	לא שווה	מילה שכיחה ושקופה מדי, זהה לאנגלית "melody/melodic"		6	בעל מנגינה נעימה	אולי	33	אנין
נִמְלַך בְּדַעֲתוֹ	לא שווה	משמעות זהה בדיוק (שינה דעתו, חזר בו) ל"נמלך" שכבר בחדש — נגזרת שקופה של אותה מילה	נמלך	6	חשב והתלבט לגבי סוגיה כלשהי; שינה את דעתו, התחרט	אולי	25	נמלך
עַפְרוֹת זָהָב	לא שווה	נגזרת שקופה: "עפרה" (עפרת מתכת) כבר בחדש, וצירוף עם "זהב" ניתן להבנה בקלות	עפרה	6	שכבות של אדמה המכילה זהב	אולי	25	טרשים
עַרְדָלַיים	לא שווה	צורת רבים/זוגי של "ערדל" שכבר בחדש — אותה מילה בדיוק	ערדל	6	נעליים שנועלים על נעליים כדי שלא יירטבו	אולי	20	פן
פָּלוּש	לא שווה	נרדף מדויק ל"פרוזדור" שכבר בחדש — אותה משמעות בדיוק (מסדרון)	פרוזדור	6	פרוזדור, מסדרון	שווה	50	פרוזדור
פַרְהֶסְיָה	לא שווה	וריאנט (ללא תחילית) של "בפרהסיה" שכבר בחדש, עם אותה הגדרה בדיוק	בפרהסיה	6	לעיני כל, בפומבי	לא שווה	100	בפרהסיה
קְדִימוֹן	לא שווה	מילה שכיחה מדי — המילה הרגילה לטריילר קולנועי, כל תלמיד תיכון מכיר		6	פרומו	שווה	0	
אִינְטֶגְרָלִי	לא שווה	מילה לועזית שכיחה ושקופה, זהה לאנגלית "integral"; הביטוי "חלק אינטגרלי" נפוץ מאוד		7	חלק חיוני ובלתי נפרד, שאי-אפשר בלעדיו; שלם, שכל חלקיו נמצאים	שווה	20	אין בו מתם
דָּגָן	לא שווה	מילה בסיסית ושכיחה מדי (מוכרת מ"דגנים" במזון), כל תלמיד תיכון מכיר		7	כל תבואת השדה	שווה	50	אסיף
דוּאָלִי	לא שווה	מילה לועזית שכיחה ושקופה מדי, זהה לאנגלית "dual"		7	בעל שני צדדים	אולי	33	אנין
זוּטָא	לא שווה	משמעות זהה ל"פעוט" שכבר בחדש — "פעוט" אף מופיע כמילה נרדפת בהגדרה המקורית של זוטא עצמה	פעוט	7	קטן מאוד, זעיר, פעוט, שולי	שווה	25	פעוט
זָח	לא שווה	נרדף מדויק ל"זע" שכבר בחדש (שתי המילים אף מופיעות יחד כצמד ניגודים "לא זע ולא נע")	זע	7	זז, זע, נע	אולי	67	זע
מַנְפֵּטָה	לא שווה	מונח טכני צר מדי — מכונה חקלאית ספציפית להפרדת סיבי כותנה, טריוויה		7	מכונה מיוחדת המשמשת להפרדת סיבי הכותנה מהזרעים	שווה	14	בעלמא
מִשְׁוֶרֶת	לא שווה	מונח מקצועי-טכני צר (חלק בציוד רכיבה/אוכף), לא אוצר מילים ספרותי-כללי	מונח מקצועי צר/טריוויה, לא נפסל בגלל כיסוי בחדש	7	טבעת לרגל בצד האוכף	שווה	25	לולאה
נִבְעָר	לא שווה	אותה משמעות בדיוק ("חסר השכלה") כבר מכוסה במילה בור	בור	7	בּוּר, חסר השכלה	לא שווה	100	בור
סְתַגְּלָן	לא שווה	נגזרת שקופה של הסתגל (כבר בחדש) בתבנית שם-פועל רגילה (כמו ותרן)	הסתגל	7	מי שמתאים עצמו בקלות למצבים חדשים, אדפטיבי	אולי	17	ותרן
עֲבוֹתוֹת	לא שווה	וריאנט/צורת קרובה של עבת שכבר בחדש (שניהם מהשורש עב"ת, עניינם סמיך ומעובה)	עבת	7	חבלים עבים	אולי	50	עב
פּוּרְתָּא	לא שווה	אותה משמעות בדיוק ("מעט, קצת") כבר מכוסה במילה קמעה	קמעה	7	מעט, קצת (נחמה ___ - נחמה מועטה)	שווה	33	קמעה
קְבָסְתָּן	לא שווה	נגזרת שקופה של קבס (בחילה וגועל, כבר בחדש) בתבנית שם-אדם רגילה	קבס	7	טרחן, מישהו שמעורר בחילה וגועל	אולי	50	קבס
תְּמוּרָה	לא שווה	שכיחה מאוד ("בתמורה ל..."), כל תלמיד תיכון מכיר; גם נגזרת קרובה ל-המיר שכבר בחדש	שכיחות גבוהה + נגזרת מ-המיר	7	מה שנותנים או מקבלים בעד דבר אחר, שכר או פיצוי; החלפה של דבר בדבר; שינוי בצורה או במצב	אולי	18	המיר
תַּמְלִיל	לא שווה	מילה שכיחה בהקשר מוזיקה/כתוביות (תמלילן, תמלול), מוכרת היטב	שכיחות גבוהה מדי	7	טקסט	אולי	0	
תִּעֵל	לא שווה	שכיחה בעברית מנהלית-תקשורתית (תיעול משאבים/כספים), מוכרת	שכיחות גבוהה בהקשר תקשורתי-מנהלי	7	הפנה לאפיק מסוים, כיוון, ניתב; חפר תעלות לניקוז או השקיה	שווה	11	הסב
תַּשׁ	לא שווה	ביטוי יומיומי שכיח מאוד ("אני תש")	שכיחות גבוהה מדי (לשון דיבור)	7	הפך לחלש, התעייף	אולי	33	שם דבר
אֶבֶן פִּינָּה	לא שווה	ניב שכיח מאוד, מוכר לכל דובר עברית	שכיחות גבוהה מדי	8	דבר יסודי, עיקרי; אבן שמניחים ביסוד בניין חדש	אולי	14	נגף
אֶבֶן שָׂפָה	לא שווה	מונח בנייה טכני-צר (אבן שוליים בכביש), טריוויה	מונח טכני צר (בנייה)	8	האבנים שבשולי הכביש, תחילת המדרכה	אולי	0	
אֲרוֹמָה	לא שווה	מילה שאולה שכיחה בהקשר קפה/יין/בישול; גם קרובה במשמעות לנדף	שכיחות גבוהה + קרוב ל-נדף	8	ניחוח, ריח קל	לא שווה	67	נדף
בַּד	לא שווה	המשמעות השכיחה ביותר (אריג/בד) בסיסית וידועה לכל ילד	שכיחות גבוהה מדי (אריג)	8	אריג טקסטיל; מסך הקרנה; ענף עבה; קורת עץ לסחיטת זיתים	אולי	20	קורה
גָּלְמִי / גּוֹלְמִי	לא שווה	ביטוי שכיח מאוד ("חומר גלמי") במסחר/כלכלה/בישול	שכיחות גבוהה מדי	8	במצבו הטבעי לפני שעבר עיבוד, ראשוני; ברוטו	אולי	0	
הִתְגַּלֵּעַ רִיב	לא שווה	צירוף שקוף של התגלע (כבר בחדש, "פרץ/אירע") ועם מילה בסיסית ריב	התגלע + ריב (מילה בסיסית)	8	הסתכסכו, התקוטטו, התעמתו	אולי	0	
טְרַנְסְפוֹרְמַצְיָה	לא שווה	מילה שאולה שכיחה מאוד בעברית עכשווית (עסקים, פיתוח אישי)	שכיחות גבוהה מדי (מילה שאולה נפוצה)	8	שינוי צורה, שינוי תכונות	אולי	50	חולל
מַחַט	לא שווה	מילה בסיסית ושכיחה ביותר (מחט תפירה/זריקה), מוכרת לכל ילד	שכיחות גבוהה מדי	8	חפץ מתכת ארוך ודק בעל חוד, לתפירה, לדיקור או להחדרת תרופה לגוף; עלה ארוך וצר של אורן או ברוש	שווה	13	חרמש
מִקַּדְמַת דְּנָא	לא שווה	אותה משמעות בדיוק ("מאז ומעולם") כבר מכוסה במימים ימימה	מימים ימימה	8	מאז ומעולם, מאז ומתמיד	אולי	75	מימים ימימה
נִדְרַשׁ	לא שווה	אותה משמעות ("עסק בעניין שוב ושוב") כבר מכוסה בניב דש בעניין	דש	8	עסק בעניין מסוים	לא שווה	67	דש
נִעֵר (אֶת) חָצְנוֹ מ-	לא שווה	אותו ניסוח בדיוק ("התנער מאחריות") כבר מופיע כהגדרת התנער בחדש	התנער	8	התנער מאחריות, התנער מהקשר אליו (חצנו = שולי הבגד)	אולי	38	התנער
נַפְשׁוֹ יָצְאָה	לא שווה	אותה משמעות בדיוק ("רצה מאוד, השתוקק") כבר מכוסה במילה חפץ	חפץ	8	רצה מאוד, השתוקק	לא שווה	100	חפץ
סְפּוֹנְטָנִי	לא שווה	מילה שאולה שכיחה ביותר בעברית מדוברת	שכיחות גבוהה מדי (מילה שאולה)	8	ללא תכנון	אולי	50	לשוא
קִטּוּב	לא שווה	מונח שכיח מאוד בשיח תקשורתי-פוליטי ("קיטוב פוליטי")	שכיחות גבוהה מדי (שיח תקשורתי-פוליטי)	8	ניגוד	שווה	0	
רֶפוֹרְמָה	לא שווה	מילה שאולה שכיחה מאוד בשיח פוליטי-תקשורתי; גם קרובה משמעותית לשידוד מערכות	שכיחות גבוהה + קרוב לשידוד מערכות	8	שינוי יסודי ומקיף, תיקון הדברים מיסודם	אולי	33	שידוד מערכות
תַּעֲרִיף	לא שווה	מילה שכיחה ביותר בחיי היומיום (חשבונות, תעריפי מונית וכו')	שכיחות גבוהה מדי	8	המחיר שיש לשלם בתמורה לדבר מה, שער	אולי	17	דובב
אֶבֶן יְסוֹד	לא שווה	ניב שכיח מאוד ("אבני היסוד של..."), וגם קרוב במשמעות לחוט השני (רעיון מרכזי חוזר)	שכיחות גבוהה + קרוב לחוט השני	9	דבר מרכזי במשהו, מרכז הכובד	אולי	25	חוט השני
אַבְּסוּרְדִי	לא שווה	מילה שאולה שכיחה מאוד בעברית מדוברת ("זה אבסורדי")	שכיחות גבוהה מדי (מילה שאולה)	9	חסר הגיון, שטותי, דבר שאינו מתקבל על הדעת	אולי	33	עקר
אֶתְנַחְתָּא	לא שווה	אותה משמעות בדיוק ("הפסקה") כבר מכוסה בהפוגה	הפוגה	9	הפסקה, פסק זמן	שווה	33	הפוגה
בִּיזָארִי	לא שווה	מילה שאולה שכיחה, וקרובה מאוד במשמעות לתמהוני	שכיחות גבוהה + קרוב לתמהוני	9	מוזר, לא נורמאלי	אולי	50	תמהוני
בִּכָּה	לא שווה	אותה משמעות בדיוק ("ביכה באבל") כבר מופיעה כהגדרת קונן בחדש	קונן	9	ספד, קונן והתאבל על מת	אולי	25	קונן
הִתְקִין	לא שווה	מילה שכיחה ביותר בעברית עכשווית (התקנת תוכנה/אפליקציה)	שכיחות גבוהה מדי (טכנולוגיה יומיומית)	9	חיבר והרכיב מכשיר במקומו; הכין וסידר; קבע תקנה	שווה	13	זכה
טַרְזָנִי	לא שווה	אותה משמעות כמו "מטורזן" (שורה מקבילה) - שניהם מתארים אדם מגונדר/הדור בלבוש, מכוסים ע"י אותו מועמד	גנדרן (מתהדר בלבושו ובמראהו)	9	גנדרני, מתלבש בהידור	שווה	0	
נִכְמַר לִבּוֹ	לא שווה	וריאנט כמעט זהה ל"נכמרו רחמיו" שכבר בחדש (לפי שדה המשפחה), וגם מכוסה ע"י "חס"	נכמרו רחמיו / חס	9	ריחם, חס	אולי	50	חס
קַנְקַן זָפוּת	לא שווה	ניב מקביל/זהה במשמעות ל"בור סוד שאינו מאבד טפה" (אותו מקור חז"לי, אותה משמעות)	בור סוד (שאינו מאבד טפה)	9	אדם שאינו שוכח דבר ממה שלמד או שמע	אולי	40	בור סוד (שאינו מאבד טפה)
רֵיאָלִי	לא שווה	שכיחה ביותר בעברית מדוברת ("זה לא ריאלי"), מוכרת לכל תלמיד תיכון	-	9	מציאותי, אובייקטיבי; ישים, אפשרי	שווה	25	היתכן
שָׁוְא	לא שווה	הגדרה זהה מילולית ("שקר וכזב") לזו של כחש שכבר בחדש	כחש	9	שקר וכזב (לרוב מופיע בצירופי סמיכות כגון "תלונת שווא")	אולי	22	כחש
תְּכִיפוּת	לא שווה	נגזרת שקופה של "תכוף" (שכיחה, כנראה כבר בחדש) - מי שיודע תכוף יודע גם תכיפות	תכוף	9	תדירות	אולי	0	
אַבְקָן	לא שווה	מונח בוטני צר (חלק בפרח) - טריוויה מקצועית, לא אוצר מילים כללי	-	10	חלק בפרח המכיל אבקה המשמשת להפריית פרח	שווה	14	נמנה עם
אוֹטוֹבִּיוֹגְרַפְיָה	לא שווה	מילה שכיחה ומוכרת לגמרי, כל תלמיד תיכון מכיר	-	10	תולדות אדם הכתובות בידי עצמו	שווה	25	תהה
אִידֵאָל	לא שווה	שכיחה ומוכרת מאוד (אידיאלי בשימוש שוטף), כל תלמיד תיכון מכיר	-	10	שיא השלמות, דבר שרוצים להשיגו	אולי	0	
בַּר-חֲלוֹף	לא שווה	משמעות זהה ל"חולף" שכבר בחדש; "בר-" תחילית שקופה נפוצה (כמו בר-קיימא)	חולף	10	זמני וחולף, עראי	שווה	33	חולף
דְפוּס	לא שווה	שכיחה ביותר ("דפוס התנהגות/חשיבה"), מוכרת לכל תלמיד תיכון	-	10	תבנית קבועה שחוזרת על עצמה; טכניקה להפקת עותקים רבים של טקסט ותמונה	שווה	10	איש אשכולות
הִלְעִיז	לא שווה	אותה משמעות כמעט מילה במילה ("הכפיש" = השמיץ, פגע בשם טוב)	הכפיש	10	השמיץ, פרסם שקרים הפוגעים בשמו של מישהו	אולי	40	הכפיש
חֲוִילָה	לא שווה	וילה/קוטג' - מילה שכיחה ומוכרת מאוד, כל תלמיד תיכון מכיר	-	10	ווילה, קוטג'	אולי	0	
מוֹעֵד	לא שווה	שכיחה ביותר בעברית יומיומית ("קבע מועד"), מוכרת לכל תלמיד תיכון	-	10	זמן; חג	אולי	50	זה מכבר
מַחְמָל	לא שווה	הביטוי "מחמל נפשו" עצמו כבר מופיע במפורש במשפחה בחדש	מחמל נפשו	10	דבר המעורר חמלה ואהבה (___ נַפְשׁוֹ = יקירו, אהובו)	אולי	14	חשק
מְטוּרְזָן	לא שווה	אותה משמעות בעיקרה כמו "גנדרן" (מתהדר בלבושו ובמראהו) שכבר בחדש	גנדרן	10	הדור בלבושו, מגונדר	שווה	33	גנדרן
מַשְׂאַת לֵב / נֶפֶש	לא שווה	הביטוי "משאת נפש" (אחד הווריאנטים) כבר קיים במפורש בחדש	משאת נפש	10	שאיפתו ותקוותו של אדם, חלום	אולי	0	
נִיוּאַנְס	לא שווה	שכיחה ומוכרת ביותר (הבדל דק), מוכרת לכל תלמיד תיכון	-	10	הבדל דק	שווה	50	יבב
סוּרֵיאָלִיסְטִי	לא שווה	שכיחה מאוד בשיח היומיומי ("זה היה סוריאליסטי"), מוכרת לכל תלמיד תיכון	-	10	לא מציאותי	שווה	0	
פִּזּוּר דַּעַת / נֶפֶש	לא שווה	וריאנט כמעט זהה לביטוי "פזור נפש" שכבר בחדש (אותה משמעות: חוסר ריכוז)	פזור נפש	10	בלבול, חוסר ריכוז	לא שווה	67	פזור נפש
פַּשְׁטָנִי	לא שווה	ההגדרה עצמה כוללת את המילה "רדוד" כפירוש נרדף - אותה משמעות בדיוק	רדוד	10	שטחי ולא מעמיק, רדוד	אולי	50	רדוד
קְרֵי	לא שווה	אותה משמעות בדיוק ("כלומר/דהיינו") כבר מכוסה ע"י דהינו, לפי ההגדרה הנתונה כאן	דהינו	10	דהיינו, כלומר	אולי	50	דהינו
שָנַק / שִנֵק	לא שווה	וריאנט צורני נדיר של "חנק" (שכיחה, ודאי כבר בחדש), אותה משמעות בדיוק	חנק	10	חנק	שווה	0	
תֶּקֶר	לא שווה	שכיחה ביותר בשפה היומיומית ("יש לי תקר"), מוכרת לכל תלמיד תיכון; גם שונה מ"קדח" (פועל קידוח מול תוצאת חור בצמיג)	-	10	חור בצמיג הגורם לבריחת האוויר ממנו ולהשבתת הגלגל, פנצ'ר	אולי	11	קדח
